Time (ms)	Lift	Drag
9434.000	1.699	0.156
9510.000	1.700	0.160
9588.000	1.701	0.159
9665.000	1.696	0.168
9743.000	1.695	0.172
9821.000	1.694	0.169
9901.000	1.695	0.158
9978.000	1.698	0.154
10055.000	1.695	0.152
10132.000	1.698	0.151
10211.000	1.704	0.151
10288.000	1.699	0.158
10365.000	1.699	0.169
10443.000	1.696	0.171
10522.000	1.694	0.170
10598.000	1.697	0.167
10675.000	1.694	0.164
10753.000	1.696	0.152
10830.000	1.700	0.147
10908.000	1.700	0.150
10988.000	1.696	0.166
11065.000	1.699	0.167
11143.000	1.696	0.172
11219.000	1.701	0.175
11297.000	1.696	0.179
11375.000	1.696	0.176
11452.000	1.699	0.166
11530.000	1.697	0.156
11608.000	1.693	0.158
11686.000	1.698	0.156
11764.000	1.697	0.163
11841.000	1.696	0.169
11918.000	1.698	0.170
11996.000	1.695	0.172
12072.000	1.700	0.167
12151.000	1.697	0.163
12228.000	1.698	0.158
12305.000	1.700	0.157
12382.000	1.698	0.149
12459.000	1.698	0.152
12538.000	1.697	0.159
12616.000	1.698	0.157
12693.000	1.700	0.155
12772.000	1.697	0.164
12850.000	1.701	0.165
12928.000	1.699	0.171
13007.000	1.698	0.158
13084.000	1.695	0.163
13161.000	1.697	0.163
13240.000	1.699	0.158
13317.000	1.699	0.154
13394.000	1.696	0.152
13472.000	1.698	0.161
13551.000	1.697	0.166
13627.000	1.699	0.165
13704.000	1.696	0.175
13781.000	1.694	0.176
13858.000	1.696	0.170
13935.000	1.695	0.161
14014.000	1.699	0.155
14091.000	1.699	0.160
14169.000	1.698	0.160
14245.000	1.700	0.160
14322.000	1.699	0.168
14400.000	1.698	0.174
14478.000	1.697	0.177
14556.000	1.695	0.176
14632.000	1.695	0.166
14710.000	1.696	0.164
14787.000	1.697	0.159
14863.000	1.700	0.154
14939.000	1.698	0.154
15019.000	1.700	0.157
15097.000	1.696	0.165
15174.000	1.696	0.172
15252.000	1.696	0.163
15331.000	1.699	0.163
15409.000	1.696	0.161
15487.000	1.698	0.153
15562.000	1.699	0.144
15641.000	1.696	0.149
15717.000	1.699	0.155
15795.000	1.701	0.160
15872.000	1.699	0.162
15950.000	1.695	0.172
16027.000	1.695	0.173
16106.000	1.699	0.162
16182.000	1.697	0.156
16260.000	1.698	0.154
16336.000	1.697	0.156
16413.000	1.700	0.148
16492.000	1.696	0.153
16570.000	1.699	0.158
16646.000	1.699	0.157
16722.000	1.698	0.154
16800.000	1.698	0.154
16877.000	1.697	0.163
16954.000	1.697	0.163
17030.000	1.698	0.158
17108.000	1.698	0.155
