Time (ms)	Lift	Drag
10163.000	1.695	0.089
10239.000	1.694	0.091
10316.000	1.695	0.090
10393.000	1.694	0.088
10469.000	1.696	0.088
10548.000	1.695	0.087
10626.000	1.696	0.088
10704.000	1.696	0.088
10783.000	1.697	0.088
10862.000	1.695	0.091
10941.000	1.696	0.091
11018.000	1.695	0.092
11097.000	1.694	0.091
11173.000	1.696	0.086
11251.000	1.694	0.088
11329.000	1.694	0.091
11407.000	1.696	0.094
11485.000	1.697	0.094
11561.000	1.695	0.092
11638.000	1.694	0.090
11715.000	1.696	0.092
11793.000	1.696	0.094
11870.000	1.696	0.093
11948.000	1.695	0.091
12026.000	1.695	0.089
12102.000	1.696	0.089
12180.000	1.698	0.088
12258.000	1.695	0.091
12336.000	1.694	0.092
12413.000	1.693	0.094
12490.000	1.696	0.095
12568.000	1.693	0.096
12645.000	1.697	0.090
12722.000	1.693	0.087
12801.000	1.695	0.084
12877.000	1.697	0.087
12956.000	1.697	0.091
13032.000	1.697	0.090
13110.000	1.696	0.088
13187.000	1.693	0.085
13264.000	1.695	0.086
13342.000	1.695	0.090
13419.000	1.697	0.092
13498.000	1.694	0.093
13577.000	1.696	0.092
13653.000	1.695	0.091
13730.000	1.694	0.090
13808.000	1.695	0.091
13887.000	1.693	0.090
13963.000	1.694	0.090
14040.000	1.699	0.094
14118.000	1.695	0.092
14197.000	1.697	0.095
14275.000	1.695	0.091
14352.000	1.695	0.088
14428.000	1.693	0.091
14506.000	1.693	0.094
14582.000	1.697	0.097
14658.000	1.695	0.094
14736.000	1.696	0.089
14812.000	1.695	0.086
14890.000	1.696	0.088
14967.000	1.696	0.091
15047.000	1.698	0.090
15123.000	1.696	0.091
15201.000	1.695	0.090
15278.000	1.696	0.087
15355.000	1.695	0.088
15433.000	1.695	0.088
15510.000	1.695	0.089
15588.000	1.696	0.092
15665.000	1.696	0.094
15743.000	1.695	0.094
15820.000	1.693	0.089
15898.000	1.695	0.086
15975.000	1.695	0.088
16052.000	1.697	0.091
16131.000	1.694	0.094
16208.000	1.694	0.096
16286.000	1.697	0.089
16362.000	1.698	0.087
16440.000	1.694	0.088
16519.000	1.694	0.088
16596.000	1.696	0.094
16674.000	1.697	0.095
16751.000	1.697	0.094
16828.000	1.695	0.094
16906.000	1.695	0.090
16982.000	1.695	0.091
17060.000	1.695	0.087
17139.000	1.695	0.091
17217.000	1.697	0.095
17294.000	1.698	0.095
17372.000	1.699	0.093
17451.000	1.694	0.088
17527.000	1.694	0.086
17607.000	1.697	0.084
17683.000	1.697	0.091
17761.000	1.696	0.098
17837.000	1.696	0.096
