Time (ms)	Lift	Drag
8908.000	1.700	0.184
8985.000	1.700	0.187
9064.000	1.697	0.190
9142.000	1.701	0.185
9220.000	1.700	0.185
9298.000	1.696	0.188
9376.000	1.699	0.188
9455.000	1.700	0.184
9532.000	1.701	0.186
9608.000	1.696	0.187
9686.000	1.700	0.180
9763.000	1.699	0.182
9841.000	1.697	0.188
9919.000	1.700	0.185
9999.000	1.697	0.190
10076.000	1.698	0.195
10155.000	1.700	0.193
10233.000	1.701	0.187
10312.000	1.698	0.193
10390.000	1.698	0.191
10469.000	1.699	0.189
10547.000	1.698	0.195
10627.000	1.700	0.191
10702.000	1.701	0.191
10779.000	1.697	0.192
10857.000	1.696	0.196
10936.000	1.702	0.191
11012.000	1.699	0.195
11090.000	1.700	0.192
11166.000	1.695	0.195
11244.000	1.700	0.194
11322.000	1.698	0.193
11400.000	1.698	0.189
11478.000	1.698	0.183
11555.000	1.703	0.187
11634.000	1.699	0.189
11712.000	1.698	0.190
11789.000	1.700	0.188
11867.000	1.698	0.190
11943.000	1.695	0.192
12022.000	1.700	0.189
12098.000	1.698	0.188
12176.000	1.699	0.192
12253.000	1.696	0.195
12332.000	1.701	0.192
12408.000	1.695	0.194
12487.000	1.700	0.190
12567.000	1.701	0.189
12644.000	1.695	0.195
12722.000	1.699	0.189
12799.000	1.698	0.185
12876.000	1.700	0.187
12954.000	1.696	0.193
13031.000	1.697	0.191
13108.000	1.700	0.189
13185.000	1.701	0.193
13263.000	1.699	0.192
13340.000	1.699	0.192
13418.000	1.699	0.188
13497.000	1.698	0.193
13573.000	1.697	0.193
13652.000	1.698	0.190
13729.000	1.699	0.195
13805.000	1.699	0.192
13882.000	1.700	0.195
13959.000	1.698	0.193
14037.000	1.697	0.192
14115.000	1.701	0.201
14192.000	1.699	0.195
14268.000	1.697	0.201
14345.000	1.700	0.214
14422.000	1.697	0.211
14498.000	1.699	0.207
14576.000	1.700	0.210
14654.000	1.699	0.206
14732.000	1.698	0.200
14810.000	1.701	0.200
14888.000	1.698	0.198
14965.000	1.697	0.192
15042.000	1.701	0.191
15122.000	1.695	0.195
15198.000	1.698	0.190
15275.000	1.694	0.188
15353.000	1.700	0.190
15430.000	1.699	0.188
15509.000	1.702	0.188
15586.000	1.698	0.194
15663.000	1.702	0.190
15740.000	1.698	0.195
15818.000	1.698	0.196
15896.000	1.697	0.202
15974.000	1.696	0.203
16053.000	1.702	0.197
16131.000	1.699	0.200
16209.000	1.697	0.195
16287.000	1.698	0.196
16363.000	1.702	0.197
16442.000	1.697	0.203
16520.000	1.700	0.194
16598.000	1.699	0.193
