Time (ms)	Lift	Drag
7921.000	1.692	0.016
7998.000	1.692	0.016
8076.000	1.692	0.016
8153.000	1.690	0.016
8231.000	1.692	0.016
8310.000	1.690	0.016
8387.000	1.692	0.016
8465.000	1.691	0.016
8543.000	1.692	0.016
8622.000	1.692	0.016
8700.000	1.691	0.016
8778.000	1.691	0.016
8857.000	1.692	0.016
8934.000	1.691	0.016
9012.000	1.691	0.016
9091.000	1.692	0.015
9168.000	1.691	0.016
9245.000	1.691	0.015
9324.000	1.692	0.016
9401.000	1.692	0.016
9479.000	1.691	0.016
9558.000	1.692	0.016
9636.000	1.691	0.016
9713.000	1.692	0.016
9790.000	1.691	0.016
9867.000	1.691	0.016
9945.000	1.690	0.016
10022.000	1.691	0.016
10101.000	1.692	0.016
10178.000	1.691	0.016
10257.000	1.692	0.016
10334.000	1.692	0.016
10410.000	1.692	0.016
10488.000	1.691	0.016
10565.000	1.692	0.016
10642.000	1.691	0.016
10718.000	1.692	0.016
10796.000	1.692	0.016
10872.000	1.691	0.016
10950.000	1.691	0.016
11028.000	1.691	0.016
11106.000	1.692	0.016
11183.000	1.691	0.016
11260.000	1.690	0.016
11338.000	1.692	0.016
11415.000	1.691	0.016
11491.000	1.692	0.016
11568.000	1.691	0.016
11645.000	1.691	0.016
11720.000	1.690	0.016
11798.000	1.691	0.016
11874.000	1.691	0.016
11952.000	1.690	0.016
12031.000	1.692	0.016
12107.000	1.691	0.016
12184.000	1.691	0.016
12263.000	1.691	0.016
12341.000	1.692	0.016
12418.000	1.691	0.016
12495.000	1.692	0.016
12572.000	1.691	0.016
12648.000	1.691	0.016
12727.000	1.692	0.016
12804.000	1.691	0.016
12882.000	1.690	0.016
12960.000	1.691	0.016
13038.000	1.691	0.016
13114.000	1.691	0.016
13192.000	1.692	0.016
13271.000	1.690	0.015
13349.000	1.690	0.015
13428.000	1.692	0.016
13505.000	1.692	0.016
13583.000	1.690	0.016
13660.000	1.691	0.016
13737.000	1.692	0.016
13816.000	1.691	0.016
13893.000	1.691	0.016
13970.000	1.691	0.016
14048.000	1.691	0.016
14126.000	1.691	0.016
14203.000	1.691	0.016
14280.000	1.691	0.016
14360.000	1.691	0.016
14436.000	1.691	0.016
14514.000	1.691	0.016
14594.000	1.691	0.016
14670.000	1.691	0.016
14749.000	1.692	0.016
14825.000	1.690	0.016
14902.000	1.691	0.016
14979.000	1.691	0.016
15058.000	1.691	0.016
15136.000	1.691	0.016
15213.000	1.690	0.016
15290.000	1.692	0.016
15367.000	1.690	0.016
15444.000	1.691	0.016
15519.000	1.691	0.016
15597.000	1.690	0.016
